"Source:","C:\Users\brend\Documents\Effects\Hammond Pedal Enclosures\HT\HT_1590BB\HT_1590BB.kicad_sch"
"Date:","6/6/2022 7:48:19 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","9V1","9V","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"","","C1","4.7u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C2","4.7u","HarmonicTremolo_V01_SMD-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C3","18n","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C4","18n","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C5","47n","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C6","100n","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C7","100u","HarmonicTremolo_V01_SMD-rescue:CP-Device","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"","","C8","10u","HarmonicTremolo_V01_SMD-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C9","1u","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C10","22n","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C11","100n","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","D1","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D2","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","FX_IN1","FX_IN","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"","","FX_OUT1","FX_OUT","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"","","GND1","GND","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"","","INPUT1","INPUT","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"","","J7","INPUT_JACK","Connector:AudioJack2_Switch","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HCD2_Horizontal","~"
"","","J8","OUPUT_JACK","Connector:AudioJack2_Switch","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HCD2_Horizontal","~"
"","","JLED2","LED2","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"","","LED1","LED1","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"","","OUTPUT1","OUTPUT","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"","","Q1","Q_NJFET_DSG","Device:Q_NJFET_DSG","Package_TO_SOT_THT:TO-92_Inline_Wide","~"
"","","R1","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R2","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R3","1Meg","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R4","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R5","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R6","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R7","1Meg","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R8","47k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R9","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R10","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R11","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R12","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R13","1Meg","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R14","1Meg","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R15","2.2k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R16","1Meg","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R17","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R18","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R19","27k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R20","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R21","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R22","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R23","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R24","470k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R25","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R26","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R27","47k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R28","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R29","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R30","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R31","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R32","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R33","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R34","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","Rate1","Rate","Device:R_Potentiometer","1590BB:Alpha_16mm_PCB_RA","~"
"","","RV1","250k","Device:R_Potentiometer_Dual_Separate","1590BB:Alpha_16mm_PCB_RA_Dual","~"
"","","RV3","Mix","Device:R_Potentiometer","1590BB:Alpha_16mm_PCB_RA","~"
"","","U1","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"","","U2","LM324","Amplifier_Operational:LM324","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf"
"","","U3","LM358","Amplifier_Operational:LM358","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"","","U4","VTL5C","Isolator:VTL5C","Vactrol:Vactrol","http://www.qsl.net/wa1ion/vactrol/vactrol.pdf"
"","","U5","VTL5C","Isolator:VTL5C","Vactrol:Vactrol","http://www.qsl.net/wa1ion/vactrol/vactrol.pdf"
"","","Waveform1","Waveform","Device:R_Potentiometer","1590BB:Alpha_16mm_PCB_RA","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","9V1","9V","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"2","1","C1","4.7u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"3","1","C2","4.7u","HarmonicTremolo_V01_SMD-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"4","2","C3, C4","18n","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"5","1","C5","47n","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
